Serie A,Italy,19
Premier League,England,19
Superliga,Denmark,10
Serie B,Italy,6
Liga Portugal,Portugal,14
Ligue 1,France,19
UEFA Europa Conference League,Europe,6
Super League,Switzerland,8
Ligue 2,France,4
Eredivisie,Netherlands,12
Premier Liga,Russia,10
Pro League,Belgium,10
Super Lig,Turkey,10
LaLiga,Spain,19
UEFA Europa League,Europe,8
Bundesliga,Germany,19
2. Bundesliga,Germany,4
Championship,England,5
Serie C - Girone A,Italy,2
Premiership,Scotland,6
Eerste Divisie,Netherlands,4
Ekstraklasa,Poland,6
League Two,England,1
Bundesliga,Austria,8
Coppa Italia,Italy,3
League One,England,2
Football League Trophy,England,1
UEFA Champions League,Europe,10
EFL Cup,England,4
HNL,Croatia,8
LaLiga 2,Spain,4
CAF Champions League,Africa,1
Premier League,Ukraine,5
FA Cup,England,3
Superliga,Slovakia,4
3. Liga,Germany,2
Regionalliga Sudwest,Germany Amateur,1
Regionalliga West,Germany Amateur,1
Copa del Rey,Spain,3
Saudi Professional League,Saudi Arabia,2
Liga Portugal 2,Portugal,3
